#SN		Galaxy			Vr(hel)	Mbhost	DM		error	NaDEW	Av		error	t_0		error	type	tpT		error	t_tran	error	t_end	error	max		error	Mmax	error	end		error	Mend	error	tail	error	Mtail	error	s1		error	s2		error	s3		error	Nimass	lerror	herror	Pd		error	OPTd	error		sstart		send		s3start
2005me	ESO 244-31 		6726	-21.41	34.76	0.10	0.00	INDEF	INDEF	53721.6	6		S		INDEF	INDEF	53754.8	1.5		53798.5	4.3		-16.83	0.10	INDEF	INDEF	-15.51	0.10	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.06	0.12	1.70	0.06	NDEF	INDEF	INDEF	INDEF	INDEF	43.64	4.51	76.91	7.35    	53736.7		53798.6		INDEF
2005Z	NGC 3363		5766	-20.48	34.61	0.11	3.36	INDEF	INDEF	53396.7	6		N		53491.3	1.3		INDEF	INDEF	53475.5	4.3		-17.17	0.11	INDEF	INDEF	-16.17	0.11	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.83	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	78.84	7.35    	53404.6		53475.7		INDEF
2006ai	ESO 005- G 009	4571	-19.24	34.01	0.14	0.00	0.00	0.09	53781.8	5		S		53854.0	0.5		53806.9	0.4		53845.0	4.3		-18.06	0.14	-18.06	0.17	-17.03	0.14	-17.03	0.17	-14.53	0.14	-14.53	0.17	4.97	0.17	2.07	0.04	1.78	0.24	0.0500*	INDEF	INDEF	38.12	4.28	63.26	6.56    	53795.5		53845.6		53861.4
2006bc	NGC 2397		1363	-20.88	31.97	0.26	2.41	INDEF	INDEF	53815.5	4		N		53901.4	0.1		53839.8	1.0		INDEF	INDEF	-15.18	0.26	INDEF	INDEF	-15.07	0.26	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.47	0.18	-0.58	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	53823.4		53871.6		INDEF
2006be	IC 4582			2145	-18.69	32.44	0.29	0.00	0.00	0.16	53805.8	6		S		INDEF	INDEF	53835.2	1.2		53878.7	4.3		-16.47	0.29	-16.47	0.33	-16.08	0.29	-16.08	0.33	INDEF	INDEF	INDEF	INDEF	1.26	0.08	0.67	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	43.47	4.43	72.89	7.35    	53823.7		53870.8		INDEF
2006bl	MCG +02-40-9	9708	-20.95	35.65	0.07	0.00	INDEF	INDEF	53823.8	6		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-18.23	0.07	INDEF	INDEF	-16.52	0.07	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.61	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	53832.7		53897.7		INDEF
2006ee	NGC 774			4620	-20.00	33.87	0.15	0.00	0.00	0.09	53961.8	4		N		54072.1	0.6		INDEF	INDEF	54047.0	4.3		-16.28	0.15	-16.28	0.18	-16.04	0.15	-16.04	0.18	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.27	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	85.17	5.84    	53979.8		54038.8		INDEF
2006it	NGC 6956		4650	-21.24	33.88	0.15	0.00	0.00	0.10	54006.5	3		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.20	0.15	-16.20	0.18	-15.97	0.15	-15.97	0.19	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.19	0.13	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54025.4		54052.7		INDEF
2006iw	2MASX J23211915 9226	-18.27	35.42	0.07	0.00	0.00	0.11	54010.6	1		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.89	0.07	-16.89	0.13	-16.18	0.07	-16.18	0.14	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.05	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54017.6		54092.6		INDEF		
2006ms	NGC 6935		4543	-21.34	33.90	0.15	0.00	0.00	0.19	54034.0	13		N		INDEF	INDEF	54059.4	3.1		INDEF	INDEF	-16.18	0.15	-16.18	0.24	-15.93	0.15	-15.93	0.24	INDEF	INDEF	INDEF	INDEF	2.07	0.30	0.11	0.48	INDEF	INDEF	0.0564*	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54071.7		54147.8		INDEF
2006qr	MCG -02-22-023	4350	-20.24	34.02	0.14	0.00	INDEF	INDEF	54062.8	7		N		54194.1	1.2		INDEF	INDEF	54158.6	4.3		-15.99	0.14	INDEF	INDEF	-14.24	0.14	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.46	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	96.85	8.19    	54048.5		54079.6		INDEF
2006Y	anon			10074	INDEF	35.73	0.06	0.00	0.00	0.11	53766.5	4		N		54824.6	0.5		53787.0	0.4		53813.9	4.3		-17.97	0.06	-17.97	0.13	-16.98	0.06	-16.98	0.13	-14.26	0.13	-14.26	0.13	8.15	0.76	1.99	0.12	4.75	0.34	0.0338*	INDEF	INDEF	26.90	4.27	47.49	5.84    	53781.6		53809.7		53832.5
2007aa	NGC 4030		1465	-21.09	31.95	0.27	0.00	0.00	0.07	54135.7	5		S		54227.4	0.3		INDEF	INDEF	INDEF	INDEF	-16.32	0.27	-16.32	0.28	-16.32	0.27	-16.32	0.28	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-0.05	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54153.7		54199.8		INDEF
2007ab	MCG -01-43-2 	7056	-21.54	34.94	0.09	0.00	INDEF	INDEF	54123.8	10		S		54204.0	0.9		INDEF	INDEF	54195.1	4.3		-16.98	0.09	INDEF	INDEF	-16.55	0.09	INDEF	INDEF	-14.22	0.09	INDEF	INDEF	INDEF	INDEF	3.30	0.08	2.31	0.22	0.0397*	INDEF	INDEF	INDEF	INDEF	71.30	10.87   	54158.8		54191.0		54207.8
2007av	NGC 3279		1394	-20.13	32.56	0.22	1.27	INDEF	INDEF	54175.7	5		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.27	0.22	INDEF	INDEF	-15.60	0.22	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.97	0.02	INDEF	INDEF	0.0149*	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54182.7		54256.6		INDEF
2007hm	SDSS J205755.65	7540	INDEF	34.98	0.09	0.00	0.00	0.15	54335.6	6		S		54414.4	1.3		INDEF	INDEF	INDEF	INDEF	-16.47	0.09	-16.47	0.18	-16.00	0.09	-16.00	0.18	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.45	0.04	INDEF	INDEF	0.045*	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54349.5		54403.7		INDEF
2007il	IC 1704			6454	-20.71	34.63	0.11	0.00	0.00	0.11	54349.7	4		N		INDEF	INDEF	INDEF	INDEF	54453.2	4.3		-16.78	0.11	-16.78	0.16	-16.59	0.11	-16.59	0.16	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.31	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	103.43	5.84    	54378.6		54435.7		INDEF
2007it	NGC 5530		1193	-19.59	30.34	0.50	0.13	0.06	0.04	54348.5	1		N		INDEF	INDEF	54361.2	2		INDEF	INDEF	-17.55	0.50	-17.61	0.50	INDEF	0.50	INDEF	INDEF	-14.83	0.50	-14.89	0.50	4.21	0.34	1.35	0.05	1.00	0.01	0.0721	0.0310	0.0543	INDEF	INDEF	INDEF	INDEF   	54357.4		54376.6		54476.8
2007ld	SDSS J204929.40	7499	INDEF	35.00	0.09	0.00	0.00	0.14	54377.5	8		S		INDEF	INDEF	54403.8	1.6		INDEF	INDEF	-17.30	0.09	-17.30	0.17	-16.53	0.09	-16.53	0.17	INDEF	INDEF	INDEF	INDEF   2.93	0.15	1.12	0.16	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54383.4		54425.6		INDEF
2007oc	NGC 7418		1450	-19.87	31.29	0.15	0.00	0.00	0.06	54388.5	5		N		54470.2	0.2		INDEF	INDEF	54460.1	4.3		-16.68	0.15	-16.68	0.17	-16.02	0.15	-16.02	0.17	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	1.83	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	71.62	6.56    	54409.4		54456.6		INDEF
2007od	UGC 12846		1734	-16.56	31.91	0.80	0.00	0.00	0.06	54402.5	5		S		INDEF	INDEF	54423.4	0.7		INDEF	INDEF	-17.87	0.80	-17.87	0.80	-16.81	0.80	-16.81	0.80	INDEF	INDEF	INDEF	INDEF   2.37	0.05	1.55	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54409.5		54469.6		INDEF
2007P	ESO 566-G36 	12224	-21.12	36.18	0.05	0.00	INDEF	INDEF	54118.7	5		N		54214.7	1.2		INDEF	INDEF	54207.0	4.3		-17.96	0.05	INDEF	INDEF	-16.75	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	2.36	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	88.33	6.56    	54128.6		54199.7		INDEF
2007sq	MCG -03-23-5	4579	-22.23	34.12	0.13	4.40	INDEF	INDEF	54421.8	4		S		54532.4	1.4		INDEF	INDEF	54510.1	4.3		-15.33	0.13	INDEF	INDEF	-14.52	0.13	INDEf	INDEF	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	1.51	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	88.34	5.84    	54453.7		54499.8		INDEF
2007U	ESO 552-65		7791	-20.45	35.14	0.08	0.00	0.00	0.36	54134.6	6		S		INDEF	INDEF	54182.4	2.2		INDEF	INDEF	-17.87	0.08	-17.87	0.37	-16.78	0.08	-16.78	0.37	INDEF	INDEF	INDEF	INDEF   2.94	0.02	1.18	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54159.5		54199.6		INDEF
2007W	NGC 5105		2902	-20.91	33.22	0.20	0.00	0.00	0.08	54136.8	7		S		54270.8	0.7		INDEF	INDEF	54214.0	4.3		-15.80	0.20	-15.80	0.22	-15.34	0.20	-15.34	0.22	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	0.12	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	77.29	8.19    	54147.7		54185.9		INDEF
2007X	ESO 385-G32		2837	-20.48	33.11	0.21	0.81	0.38	0.19	54143.8	5		S		54256.5	0.6		54188.9	1.1		54241.5	4.3		-17.84	0.21	-18.22	0.29	-16.70	0.21	-17.08	0.29	INDEF	INDEF	INDEF	INDEF   2.43	0.06	1.37	0.03	INDEF	INDEF	0.082*	INDEF	INDEF	52.60	4.39	97.71	6.56    	54166.7		54231.9		INDEF
2008ag	IC 4729			4439	-21.47	33.91	0.15	0.00	0.00	0.11	54479.8	6		S		54616.8	0.5		INDEF	INDEF	54582.8	4.3		-16.96	0.15	-16.96	0.19	-16.66	0.15	-16.66	0.19	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	0.16	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	102.95	7.35    	54512.8		54566.9		INDEF
2008aw	NGC 4939		3110	-22.29	33.36	0.19	0.73	0.32	0.16	54517.7	10		N		54605.6	0.5		54556.1	0.9		54593.6	4.3		-17.71	0.19	-18.03	0.25	-16.60	0.19	-16.92	0.25	-14.04	0.19	-14.36	0.25	3.27	0.06	2.25	0.03	1.97	0.09	0.0491*	INDEF	INDEF	37.42	4.35	75.83	10.87   	54538.6		54587.8		54624.6
2008bh	NGC 2642		4345	-20.93	34.02	0.14	1.72	INDEF	INDEF	54543.5	5		N		INDEF	INDEF	54564.8	1.6		INDEF	INDEF	-16.06	0.14	INDEF	INDEF	-15.11	0.14	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.00	0.27	1.20	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54551.4		54616.7		INDEF
2008bk	NGC 7793		227		-18.50	27.68	0.05	0.00	0.00	0.05	54542.8	6		S		54673.6	1.1		INDEF	INDEF	54647.7	4.3		-14.86	0.05	-14.86	0.08	-14.59	0.05	-14.59	0.08	-11.98	0.05	-11.98	0.09	INDEF	INDEF	0.11	0.02	1.18	0.02	0.0074	0.0010	0.0012	INDEF	INDEF	104.83	7.35    	54587.8     54628.7		54725.6
2008bm	CGCG 071-101	9563	-19.48	35.66	0.07	0.00	0.00	0.07	54522.5	26		N		54620.3	0.4		INDEF	INDEF	54609.5	4.3		-18.12	0.07	-18.12	0.11	-16.32	0.07	-16.32	0.11	-12.67	0.07	-12.67	0.11	INDEF	INDEF	2.74	0.03	INDEF	INDEF	0.014*	INDEF	INDEF	INDEF	INDEF	87.04	26.35   	54558.6		54606.8		INDEF
2008bp	NGC 3095		2723	-21.55	33.10	0.21	0.93	0.54	0.27	54551.6	6		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-14.00	0.21	-14.54	0.34	-13.13	0.21	-13.67	0.35	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.17	0.18	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	58.62	7.35    	54562.6		54592.7		INDEF
2008br	IC 2522			3019	-20.86	33.30	0.20	0.00	0.00	0.15	54555.6	9		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-15.30	0.20	-15.30	0.25	-14.94	0.20	-14.94	0.25	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.45	0.02	INDEF	INDEF	0.0261*	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54566.6		54648.6		INDEF
2008bu	ESO 586-G2		6630	-21.60	34.81	0.10	0.00	0.00	0.12	54566.7	7		S		54620.5	1.0		INDEF	INDEF	54611.5	4.3		-17.14	0.10	-17.14	0.16	-16.74	0.10	-16.74	0.16	-13.71	0.10	-13.71	0.16	INDEF	INDEF	2.77	0.14	2.69	0.52	0.0197*	INDEF	INDEF	INDEF	INDEF	44.75	8.19    	54575.7		54599.8		54624.7
2008F	MCG -01-8-15	5506	-20.53	34.31	0.12	0.00	INDEF	INDEF	54470.5	6		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-15.67	0.12	INDEF	INDEF	-15.56	0.12	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.45	0.10	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54480.5		54519.6		INDEF
2008ga	LCSB L0250N		4639	INDEF	33.99	0.14	0.00	INDEF	INDEF	54711.8	4		S		54799.9	0.8		INDEF	INDEF	54784.6	4.3		-16.45	0.14	INDEF	INDEF	-16.20	0.14	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.17	0.08	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	72.79	5.84    	54744.8		54781.9		INDEF
2008gi	CGCG 415-004	7328	-20.01	34.94	0.09	1.24	INDEF	INDEF	54742.7	9		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.31	0.09	INDEF	INDEF	-15.86	0.09	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.13	0.08	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54756.6		54808.8		INDEF
2008gr	IC 1579			6831	-20.60	34.76	0.10	0.00	0.00	0.05	54766.5	4		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.95	0.10	-17.95	0.12	-16.43	0.10	-16.43	0.12	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.01	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54770.5		54844.7		INDEF
2008hg	IC 1720			5684	-20.87	34.36	0.12	0.00	0.00	0.28	54779.7	5		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-15.43	0.12	-15.43	0.31	-15.59	0.12	-15.59	0.31	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-0.44	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54789.7		54827.7		INDEF
2008ho	NGC 922			3082	-20.81	32.98	0.23	0.47	0.16	0.08	54792.7	5		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-15.11	0.23	-15.27	0.25	-15.03	0.23	-15.19	0.25	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.30	0.06	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54798.6		54827.8		INDEF
2008if	MCG -01-24-10	3440	-20.39	33.56	0.17	0.58	0.21	0.11	54807.8	5		N		54891.5	0.4		54833.8	0.3		54883.6	4.3		-17.94	0.17	-18.15	0.20	-16.79	0.17	-17.00	0.21	-14.46	0.17	-14.67	0.21	4.03	0.07	2.10	0.02	INDEF	INDEF	0.0625*	INDEF	INDEF	49.82	4.26	75.85	6.56    	54820.7		54872.8		INDEF
2008il	ESO 355-G4		6276	-20.66	34.61	0.11	0.00	0.00	0.15	54825.6	3		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.61	0.11	-16.61	0.19	-16.22	0.11	-16.22	0.19	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.93	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54830.5		54867.7		INDEF
2008in	NGC 4303		1566	-20.38	30.38	0.47	0.24	0.08	0.05	54822.8	6		S		54930.2	0.1		54847.8	1.6		54915.0	4.3		-15.40	0.47	-15.48	0.47	-14.79	0.47	-14.87	0.47	INDEF	INDEF	INDEF	INDEF	1.82	0.20	0.83	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	67.19	4.54	92.20	7.35    	54837.7		54898.8		INDEF
2008K	ESO 504-G5		7997	-20.74	35.29	0.08	0.00	0.00	0.05	54477.7	4		S		54570.3	0.8		INDEF	INDEF	54564.8	4.3		-17.45	0.08	-17.45	0.10	-16.04	0.08	-16.04	0.10	-13.40	0.08	-13.40	0.11	INDEF	INDEF	2.72	0.02	2.07	0.26	0.0123*	INDEF	INDEF	INDEF	INDEF	87.11	5.84    	54484.7		54560.8		54580.6
2008M	ESO 121-26		2267	-20.37	32.55	0.28	0.00	0.00	0.07	54471.7	9		N		54555.2	0.4		INDEF	INDEF	54547.0	4.3		-16.75	0.28	-16.75	0.29	-16.17	0.28	-16.17	0.29	-13.41	0.28	-13.41	0.29	INDEF	INDEF	1.14	0.02	1.18	0.26	0.0197	0.0067	0.0100	INDEF	INDEF	75.34	9.95    	54484.6		54527.6		54566.4
2008W	MCG -03-22-7 	5757	-20.74	34.59	0.11	1.60	INDEF	INDEF	54485.7	6		S		54586.4	0.8		INDEF	INDEF	54569.6	4.3		-16.60	0.11	INDEF	INDEF	-16.05	0.11	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	1.11	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	83.86	7.35    	54508.7		54564.7		INDEF
2009ao	NGC 2939		3339	-20.52	33.33	0.20	3.06	INDEF	INDEF	54890.6	4		N		INDEF	INDEF	INDEF	INDEF	54932.3	4.3		-15.79	0.20	INDEF	INDEF	-15.78	0.20	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	-0.01	0.12	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	41.71	5.84    	54898.5		54927.6		INDEF
2009au	ESO 443-21		2819	-19.92	33.16	0.21	1.51	INDEF	INDEF	54897.5	4		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.34	0.21	INDEF	INDEF	-14.69	0.21	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	3.04	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54915.6		54968.7		INDEF
2009bu	NGC 7408		3494	-20.87	33.32	0.19	0.00	0.00	0.10	54907.9	6		S		INDEF	INDEF	54939.4	1.9		INDEF	INDEF	-16.05	0.19	-16.05	0.22	-15.87	0.19	-15.87	0.22	INDEF	INDEF	INDEF	INDEF   0.98	0.16	0.18	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54927.8		54976.9		INDEF
2009bz	UGC 9814		3231	-19.09	33.34	0.19	0.00	0.00	0.06	54915.8	4		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.46	0.19	-16.46	0.20	-16.26	0.19	-16.26	0.20	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	0.50	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	54937.6		54976.8		INDEF
2009N	NGC 4487		1034	-20.22	31.49	0.40	0.29	0.10	0.06	54846.7	5		S		54963.1	0.2		INDEF	INDEF	54936.3	4.3		-15.25	0.40	-15.35	0.41	-14.90	0.40	-15.00	0.41	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	0.34	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	89.50	6.56    	54859.7		54928.8		INDEF
S0210	MCG +00-03-054	15420	-21.23	36.58	0.04	0.00	INDEF	INDEF	52489.5	9		S		52591.9	0.3		INDEF	INDEF	52580.0	4.3		-16.21	0.04	INDEF	INDEF	-15.90	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   INDEF	INDEF	2.21	0.08	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	90.57	9.95    	52545.7     52577.8		INDEF
