|          MJD |     mag |   dmag | filt |      source | nondet |
|   58480.3782 | 17.6234 | 0.0132 |   rp | Las Cumbres |  FALSE |
|   58480.3763 | 18.4109 | 0.4598 |   rp | Las Cumbres |  FALSE |
|   58480.3722 | 18.7846 | 0.0173 |   gp | Las Cumbres |  FALSE |
|   58480.3683 | 18.7771 | 0.0193 |   gp | Las Cumbres |  FALSE |
|   58480.3663 |  18.037 | 0.0284 |    V | Las Cumbres |  FALSE |
|   58480.3644 | 18.0459 | 0.0257 |    V | Las Cumbres |  FALSE |
|   58480.3603 | 19.4386 | 0.0446 |    B | Las Cumbres |  FALSE |
|   58480.3564 | 19.4098 | 0.0445 |    B | Las Cumbres |  FALSE |
|   58487.3152 | 17.5891 | 0.0221 |   ip | Las Cumbres |  FALSE |
|   58487.3134 | 17.5339 | 0.0241 |   ip | Las Cumbres |  FALSE |
|   58487.3114 | 17.7199 | 0.0141 |   rp | Las Cumbres |  FALSE |
|   58487.3095 | 17.7486 | 0.0161 |   rp | Las Cumbres |  FALSE |
|   58487.3054 | 18.8663 | 0.0152 |   gp | Las Cumbres |  FALSE |
|   58487.3015 | 18.8913 | 0.0152 |   gp | Las Cumbres |  FALSE |
|   58487.2995 | 18.2026 | 0.0259 |    V | Las Cumbres |  FALSE |
|   58487.2976 |  18.203 | 0.0258 |    V | Las Cumbres |  FALSE |
|   58487.2935 | 19.7443 | 0.0416 |    B | Las Cumbres |  FALSE |
|   58487.2896 | 19.6929 | 0.0359 |    B | Las Cumbres |  FALSE |
|   58496.2324 | 18.2269 | 0.0832 |    V | Las Cumbres |  FALSE |
|   58496.2305 | 18.3551 | 0.0408 |    V | Las Cumbres |  FALSE |
|   58496.2265 | 19.8368 | 0.1007 |    B | Las Cumbres |  FALSE |
|   58498.1524 | 18.4628 | 0.0317 |    V | Las Cumbres |  FALSE |
|   58498.1496 | 18.3309 | 0.0259 |    V | Las Cumbres |  FALSE |
|   58498.1444 | 19.9687 | 0.1186 |    B | Las Cumbres |  FALSE |
|   58498.1393 | 20.1812 |   0.11 |    B | Las Cumbres |  FALSE |
|   58498.1742 | 17.7742 | 0.0155 |   ip | Las Cumbres |  FALSE |
|   58498.1715 | 17.8754 | 0.0165 |   ip | Las Cumbres |  FALSE |
|   58498.1685 | 17.9146 | 0.0153 |   rp | Las Cumbres |  FALSE |
|   58498.1658 | 17.9099 | 0.0154 |   rp | Las Cumbres |  FALSE |
|   58498.1605 | 19.2392 | 0.0375 |   gp | Las Cumbres |  FALSE |
|   58498.1554 | 19.3007 | 0.0345 |   gp | Las Cumbres |  FALSE |
|   58504.2495 | 17.7995 | 0.0341 |   ip | Las Cumbres |  FALSE |
|   58504.2467 | 17.8357 | 0.0221 |   ip | Las Cumbres |  FALSE |
|   58504.2438 | 17.9656 | 0.0161 |   rp | Las Cumbres |  FALSE |
|    58504.241 | 18.0058 | 0.0201 |   rp | Las Cumbres |  FALSE |
|   58504.2357 | 19.2386 | 0.0173 |   gp | Las Cumbres |  FALSE |
|   58504.2307 | 19.2746 | 0.0192 |   gp | Las Cumbres |  FALSE |
|   58504.2277 | 18.6521 | 0.0352 |    V | Las Cumbres |  FALSE |
|   58504.2249 | 18.6591 | 0.0437 |    V | Las Cumbres |  FALSE |
|   58504.2197 | 20.0601 | 0.0623 |    B | Las Cumbres |  FALSE |
|   58504.2146 | 20.2615 | 0.0621 |    B | Las Cumbres |  FALSE |
|   58514.1518 | 18.5493 | 0.0564 |    V | Las Cumbres |  FALSE |
|   58514.1465 | 20.4518 | 0.0546 |    B | Las Cumbres |  FALSE |
|   58514.1414 | 20.1848 | 0.0427 |    B | Las Cumbres |  FALSE |
|   58521.3988 | 18.1095 | 0.0203 |   ip | Las Cumbres |  FALSE |
|   58521.3961 | 18.1324 | 0.0212 |   ip | Las Cumbres |  FALSE |
|   58521.3934 | 18.2747 | 0.0143 |   rp | Las Cumbres |  FALSE |
|   58521.3907 | 18.2728 | 0.0153 |   rp | Las Cumbres |  FALSE |
|   58521.3856 | 19.7093 | 0.0216 |   gp | Las Cumbres |  FALSE |
|   58521.3806 |  19.717 | 0.0177 |   gp | Las Cumbres |  FALSE |
|   58521.3779 | 18.9404 | 0.0282 |    V | Las Cumbres |  FALSE |
|   58521.3753 | 18.8731 | 0.0258 |    V | Las Cumbres |  FALSE |
|   58521.3702 | 20.6436 | 0.0602 |    B | Las Cumbres |  FALSE |
|   58521.3652 | 20.5048 | 0.1554 |    B | Las Cumbres |  FALSE |
|   58526.4123 | 18.4459 | 0.5007 |   ip | Las Cumbres |  FALSE |
|   58526.4097 | 18.1882 | 0.0173 |   ip | Las Cumbres |  FALSE |
|   58526.4069 | 18.3843 | 0.0154 |   rp | Las Cumbres |  FALSE |
|   58526.4043 | 18.2733 | 0.0143 |   rp | Las Cumbres |  FALSE |
|   58526.3992 | 19.9061 | 0.0234 |   gp | Las Cumbres |  FALSE |
|   58526.3943 | 19.8443 | 0.0214 |   gp | Las Cumbres |  FALSE |
|   58526.3915 | 19.0125 | 0.0272 |    V | Las Cumbres |  FALSE |
|   58526.3889 | 18.9782 |  0.031 |    V | Las Cumbres |  FALSE |
|   58526.3838 | 20.7373 | 0.0731 |    B | Las Cumbres |  FALSE |
|   58526.3789 | 20.6817 | 0.0642 |    B | Las Cumbres |  FALSE |
|   58536.2789 | 18.4023 | 0.0271 |   ip | Las Cumbres |  FALSE |
|   58536.2677 | 21.0485 | 0.1924 |    B | Las Cumbres |  FALSE |
|   58536.3706 | 18.3934 | 0.0361 |   ip | Las Cumbres |  FALSE |
|    58536.368 | 18.4536 | 0.0291 |   ip | Las Cumbres |  FALSE |
|   58536.3652 | 18.6047 | 0.0362 |   rp | Las Cumbres |  FALSE |
|   58536.3626 | 18.6191 | 0.0281 |   rp | Las Cumbres |  FALSE |
|   58536.3575 | 20.3402 | 0.1074 |   gp | Las Cumbres |  FALSE |
|   58536.3526 | 20.1925 | 0.0845 |   gp | Las Cumbres |  FALSE |
|   58536.3498 | 19.4219 | 0.0783 |    V | Las Cumbres |  FALSE |
|   58536.3472 | 19.5422 | 0.0843 |    V | Las Cumbres |  FALSE |
|   58536.3421 | 20.6811 | 0.1655 |    B | Las Cumbres |  FALSE |
|   58536.3372 | 21.2035 | 0.2533 |    B | Las Cumbres |  FALSE |
|   58540.3692 | 20.4935 | 0.0645 |   gp | Las Cumbres |  FALSE |
|   58540.3664 | 19.5455 | 0.0552 |    V | Las Cumbres |  FALSE |
|   58540.3638 | 19.5634 | 0.0503 |    V | Las Cumbres |  FALSE |
|   58540.3538 | 21.4099 | 0.1515 |    B | Las Cumbres |  FALSE |
|   58540.3873 | 18.8947 | 0.0532 |   ip | Las Cumbres |  FALSE |
|   58540.3846 | 18.5962 | 0.0432 |   ip | Las Cumbres |  FALSE |
|   58540.3819 | 18.7969 | 0.0242 |   rp | Las Cumbres |  FALSE |
|   58540.3792 | 18.9085 | 0.0252 |   rp | Las Cumbres |  FALSE |
|   58540.3741 | 20.5204 | 0.0675 |   gp | Las Cumbres |  FALSE |
|   58540.5550 |   19.14 |    0.0 |    G |        Gaia |  FALSE |
|   58540.6290 |    19.2 |    0.0 |    G |        Gaia |  FALSE |
|   58544.2471 | 19.0994 | 0.0282 |   rp | Las Cumbres |  FALSE |
|   58544.2445 | 19.0496 | 0.0242 |   rp | Las Cumbres |  FALSE |
|   58544.2394 | 20.7508 | 0.0412 |   gp | Las Cumbres |  FALSE |
|   58544.2345 | 20.7691 | 0.0343 |   gp | Las Cumbres |  FALSE |
|   58544.2317 | 19.9138 | 0.0407 |    V | Las Cumbres |  FALSE |
|   58544.2291 | 19.9079 |  0.056 |    V | Las Cumbres |  FALSE |
|    58544.224 | 21.3424 | 0.0859 |    B | Las Cumbres |  FALSE |
|   58544.2191 | 21.5122 | 0.0852 |    B | Las Cumbres |  FALSE |
|   58544.2525 | 19.0187 | 0.0293 |   ip | Las Cumbres |  FALSE |
|   58544.2499 | 19.0033 | 0.0303 |   ip | Las Cumbres |  FALSE |
|   58544.3678 | 20.8031 | 0.0324 |   gp | Las Cumbres |  FALSE |
|    58544.365 | 19.8066 | 0.0409 |    V | Las Cumbres |  FALSE |
|   58544.3624 | 20.0151 | 0.0427 |    V | Las Cumbres |  FALSE |
|   58544.3573 | 21.7073 | 0.1021 |    B | Las Cumbres |  FALSE |
|   58544.3524 | 21.4384 |  0.095 |    B | Las Cumbres |  FALSE |
|   58544.3859 | 19.1093 | 0.0336 |   ip | Las Cumbres |  FALSE |
|   58544.3833 | 19.1665 | 0.0375 |   ip | Las Cumbres |  FALSE |
|   58544.3805 | 19.1653 | 0.0214 |   rp | Las Cumbres |  FALSE |
|   58544.3778 | 19.0324 | 0.0204 |   rp | Las Cumbres |  FALSE |
|   58544.3727 | 20.7592 | 0.0354 |   gp | Las Cumbres |  FALSE |
|   58554.8080 |   19.81 |    0.0 |    G |        Gaia |  FALSE |
|   58555.3264 | 20.5142 |  0.083 |    V | Las Cumbres |  FALSE |
|   58555.3302 | 20.5229 | 0.0869 |    V | Las Cumbres |  FALSE |
|   58555.3341 | 20.6093 | 0.0634 |   gp | Las Cumbres |  FALSE |
|   58555.3391 | 20.7591 | 0.0703 |   gp | Las Cumbres |  FALSE |
|   58555.3442 | 19.2463 | 0.0341 |   rp | Las Cumbres |  FALSE |
|   58555.3479 | 19.2843 | 0.0331 |   rp | Las Cumbres |  FALSE |
|   58555.3519 | 19.2945 | 0.0571 |   ip | Las Cumbres |  FALSE |
|   58555.3557 | 19.2024 | 0.0611 |   ip | Las Cumbres |  FALSE |
|   58558.1254 | 19.6746 | 0.0961 |   rp | Las Cumbres |  FALSE |
|   58558.1292 | 19.5596 | 0.0981 |   rp | Las Cumbres |  FALSE |
|   58558.1331 | 19.2884 | 0.0911 |   ip | Las Cumbres |  FALSE |
|   58558.1369 | 19.6378 | 0.1321 |   ip | Las Cumbres |  FALSE |
|   58561.3304 | 19.7309 | 0.1411 |   rp | Las Cumbres |  FALSE |
|   58561.3342 | 19.5805 | 0.1021 |   rp | Las Cumbres |  FALSE |
|   58561.3381 | 19.7478 | 0.1482 |   ip | Las Cumbres |  FALSE |
|   58561.3419 | 19.6351 | 0.1263 |   ip | Las Cumbres |  FALSE |
|    58562.128 | 19.4945 | 0.1151 |   rp | Las Cumbres |  FALSE |
|   58562.1318 | 19.5513 | 0.1161 |   rp | Las Cumbres |  FALSE |
|   58562.1357 | 19.8567 | 0.2081 |   ip | Las Cumbres |  FALSE |
|   58562.1395 | 19.5652 | 0.1821 |   ip | Las Cumbres |  FALSE |
|   58565.1258 | 19.5046 | 0.0772 |   rp | Las Cumbres |  FALSE |
|   58565.1296 | 19.4562 | 0.2301 |   rp | Las Cumbres |  FALSE |
|   58565.1335 | 19.5004 | 0.2541 |   ip | Las Cumbres |  FALSE |
|   58565.1373 | 19.4032 | 0.1921 |   ip | Las Cumbres |  FALSE |
|   58568.1049 | 19.8368 | 0.0651 |   ip | Las Cumbres |  FALSE |
|   58568.1011 | 19.8932 |  0.069 |   ip | Las Cumbres |  FALSE |
|   58568.0972 | 19.4024 | 0.0331 |   rp | Las Cumbres |  FALSE |
|   58568.0934 | 19.3982 | 0.0321 |   rp | Las Cumbres |  FALSE |
|   58568.0895 | 20.7592 | 0.1141 |    V | Las Cumbres |  FALSE |
|   58568.0857 |   20.75 | 0.1491 |    V | Las Cumbres |  FALSE |
|   58571.2846 |  20.659 | 0.0681 |    V | Las Cumbres |  FALSE |
|   58571.2884 |  20.593 |  0.066 |    V | Las Cumbres |  FALSE |
|   58571.2923 | 19.5361 | 0.0281 |   rp | Las Cumbres |  FALSE |
|   58571.2961 | 19.5245 | 0.0291 |   rp | Las Cumbres |  FALSE |
|      58571.3 | 19.6903 | 0.0491 |   ip | Las Cumbres |  FALSE |
|   58571.3038 | 19.5821 | 0.0511 |   ip | Las Cumbres |  FALSE |
|   58574.2603 | 20.9275 | 0.1283 |    V | Las Cumbres |  FALSE |
|   58574.2641 | 20.8453 | 0.1183 |    V | Las Cumbres |  FALSE |
|   58574.2681 | 19.5156 | 0.0374 |   rp | Las Cumbres |  FALSE |
|   58574.2718 | 19.4847 | 0.0602 |   rp | Las Cumbres |  FALSE |
|   58574.2758 | 19.8564 | 0.0962 |   ip | Las Cumbres |  FALSE |
|   58574.2796 | 19.6842 | 0.1041 |   ip | Las Cumbres |  FALSE |
|   58577.1072 | 19.7588 | 0.0281 |   rp | Las Cumbres |  FALSE |
|    58577.111 | 19.6597 | 0.0271 |   rp | Las Cumbres |  FALSE |
|    58577.115 | 19.6757 | 0.0351 |   ip | Las Cumbres |  FALSE |
|   58577.1189 | 20.6223 | 0.0573 |    V | Las Cumbres |  FALSE |
|   58577.1227 |  20.676 | 0.0757 |    V | Las Cumbres |  FALSE |
|   58577.1266 | 19.6504 | 0.0281 |   rp | Las Cumbres |  FALSE |
|   58577.1304 | 19.7272 | 0.0261 |   rp | Las Cumbres |  FALSE |
|   58577.1343 | 19.8884 | 0.0461 |   ip | Las Cumbres |  FALSE |
|   58577.1381 | 19.8626 | 0.0381 |   ip | Las Cumbres |  FALSE |
|   58578.1054 | 19.6588 | 0.0331 |   rp | Las Cumbres |  FALSE |
|   58578.1092 | 19.5589 | 0.0271 |   rp | Las Cumbres |  FALSE |
|   58578.1132 | 19.6617 | 0.0441 |   ip | Las Cumbres |  FALSE |
|    58578.117 | 19.6935 | 0.0421 |   ip | Las Cumbres |  FALSE |
|    58578.127 |  20.654 | 0.0645 |    V | Las Cumbres |  FALSE |
|   58578.1348 | 19.6441 | 0.0252 |   rp | Las Cumbres |  FALSE |
|   58578.1308 | 20.8496 | 0.0814 |    V | Las Cumbres |  FALSE |
|   58578.1385 | 19.6264 | 0.0261 |   rp | Las Cumbres |  FALSE |
|   58578.1425 | 19.7546 | 0.0441 |   ip | Las Cumbres |  FALSE |
|   58578.1463 | 19.8659 | 0.0461 |   ip | Las Cumbres |  FALSE |
|   58591.5230 |   20.25 |    0.0 |    G |        Gaia |  FALSE |
|   58591.5970 |   20.29 |    0.0 |    G |        Gaia |  FALSE |
|   58593.1597 |  21.075 | 0.2271 |    V | Las Cumbres |  FALSE |
|   58593.1635 | 21.0846 | 0.2732 |    V | Las Cumbres |  FALSE |
|   58593.1675 | 19.9222 | 0.0591 |   rp | Las Cumbres |  FALSE |
|   58593.1712 | 19.7901 | 0.0681 |   rp | Las Cumbres |  FALSE |
|   58593.1752 | 20.1212 | 0.1141 |   ip | Las Cumbres |  FALSE |
|    58593.179 | 20.0421 | 0.1111 |   ip | Las Cumbres |  FALSE |
|   58601.1027 | 20.6225 | 0.1552 |    V | Las Cumbres |  FALSE |
|   58601.1104 |  19.795 |  0.049 |   rp | Las Cumbres |  FALSE |
|   58601.1065 | 21.0241 | 0.1643 |    V | Las Cumbres |  FALSE |
|   58601.1142 | 19.8964 | 0.0411 |   rp | Las Cumbres |  FALSE |
|    58601.122 | 20.0317 |  0.083 |   ip | Las Cumbres |  FALSE |
|   58601.1182 | 19.6159 |   0.07 |   ip | Las Cumbres |  FALSE |
|   58609.1213 | 18.0589 | 0.0433 |    V | Las Cumbres |  FALSE |
|   58609.1251 | 17.4926 | 0.0424 |    V | Las Cumbres |  FALSE |
|   58609.1291 | 17.1107 |  0.041 |   rp | Las Cumbres |  FALSE |
|   58422.4679 | 17.0895 | 0.0209 |    g |         ZTF |  FALSE |
|   58425.5163 | 17.1056 |  0.021 |    g |         ZTF |  FALSE |
|   58427.3876 | 17.1934 | 0.0217 |    g |         ZTF |  FALSE |
|   58428.5285 | 17.1533 | 0.0214 |    g |         ZTF |  FALSE |
|   58430.3701 | 17.1977 | 0.0217 |    g |         ZTF |  FALSE |
|   58431.4934 | 17.2255 |  0.022 |    g |         ZTF |  FALSE |
|   58434.5109 | 17.3593 | 0.0232 |    g |         ZTF |  FALSE |
|   58437.4658 |  17.446 | 0.0241 |    g |         ZTF |  FALSE |
|   58443.5122 | 17.6776 | 0.0268 |    g |         ZTF |  FALSE |
|   58450.4427 | 17.9439 | 0.0309 |    g |         ZTF |  FALSE |
|   58464.4777 | 18.2989 |  0.038 |    g |         ZTF |  FALSE |
|   58467.4339 | 18.3866 | 0.0402 |    g |         ZTF |  FALSE |
|    58472.493 | 18.5611 |  0.045 |    g |         ZTF |  FALSE |
|    58475.528 | 18.6152 | 0.0466 |    g |         ZTF |  FALSE |
|   58480.4715 |  18.697 | 0.0493 |    g |         ZTF |  FALSE |
|   58482.5527 | 18.6926 | 0.0491 |    g |         ZTF |  FALSE |
|   58422.5119 | 17.1742 | 0.0202 |    r |         ZTF |  FALSE |
|   58422.5461 | 17.1762 | 0.0202 |    r |         ZTF |  FALSE |
|   58425.4953 | 17.1526 |   0.02 |    r |         ZTF |  FALSE |
|   58428.4993 |  17.082 | 0.0192 |    r |         ZTF |  FALSE |
|    58431.511 | 17.0824 | 0.0192 |    r |         ZTF |  FALSE |
|   58434.4642 | 17.0985 | 0.0194 |    r |         ZTF |  FALSE |
|   58440.5134 | 17.1178 | 0.0196 |    r |         ZTF |  FALSE |
