#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T07:08:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3aa2dc59da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/MNRAS/459/3939/tabled5
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/tabled5}&key:source=J/MNRAS/459/3939/tabled5&HTTPPRM:&&-ref=VIZ5d3aa2dc59da&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&-out=tpt&-out=e_tpt&-out=a0&-out=E_a0&-out=e_a0&-out=w0&-out=E_w0&-out=e_w0&-out=m0&-out=E_m0&-out=e_m0&-out=p0&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/459/3939/tabled5
#-source=J/MNRAS/459/3939/tabled5
#-out=Name
#-out=tpt
#-out=e_tpt
#-out=a0
#-out=E_a0
#-out=e_a0
#-out=w0
#-out=E_w0
#-out=e_w0
#-out=m0
#-out=E_m0
#-out=e_m0
#-out=p0
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_tabled5:
#Name: J/MNRAS/459/3939/tabled5
#Title: MCMC parameters on V band light curves
#Column	Name	(a14)	SN name	[ucd=meta.id;meta.main]
#Column	tpt	(F5.1)	Time of the drop (G1)	[ucd=time.epoch]
#Column	e_tpt	(F4.1)	rms uncertainty on tpt	[ucd=stat.error]
#Column	a0	(F8.5)	Depth of the drop (G1)	[ucd=phot.mag;arith.diff]
#Column	E_a0	(F8.5)	Error on a0, upper value	[ucd=stat.error;stat.max]
#Column	e_a0	(F8.5)	Error on a0, lower value	[ucd=stat.error]
#Column	w0	(F8.5)	Shape of the drop (G1)	[ucd=phot.flux;arith.ratio]
#Column	E_w0	(F8.5)	Error on w0, upper value	[ucd=stat.error;stat.max]
#Column	e_w0	(F8.5)	Error on w0, lower value	[ucd=stat.error]
#Column	m0	(F8.5)	m0 parameter (G1)	[ucd=stat.fit.param]
#Column	E_m0	(F8.5)	Error on m0, upper value	[ucd=stat.error;stat.max]
#Column	e_m0	(F8.5)	Error on m0, lower value	[ucd=stat.error]
#Column	p0	(F7.4)	p0 parameter (G1)	[ucd=stat.fit.param]
Name	tpt	e_tpt	a0	E_a0	e_a0	w0	E_w0	e_w0	m0	E_m0	e_m0	p0
2002hj        	 99.7	 7.0	 2.13250	 0.00000	 0.00010	 6.56108	 0.00010	 0.00012	21.58200	 9.00910	 9.84051	 0.0141
2003T         	103.9	10.0	 1.30859	 0.04900	 0.04860	 2.56083	 0.26960	 0.26961	21.22110	 0.05040	 0.05285	 0.0202
2003bn        	118.9	 3.0	 1.84879	 0.00000	 0.00010	 4.44229	 9.67260	 9.67267	19.85290	 0.00010	 0.00010	 0.0120
2003cx        	 92.4	 5.0	 1.05701	 9.52700	 0.00010	 0.19338	 8.95750	 8.95759	21.19450	 0.00010	 9.46331	 0.0120
2003hd        	 96.5	 5.0	 2.31035	 0.07900	 0.07446	 3.02649	 1.39710	 1.39714	21.96160	 0.07550	 0.07225	 0.0072
2003hn        	106.9	 4.0	 1.76998	 9.55500	 9.30409	 2.33249	 9.58090	 9.58092	17.37200	 9.53970	 9.72347	 0.0128
2003iq        	102.1	 2.0	 1.61370	 0.00000	 8.35990	 4.52065	 9.80470	 9.80473	18.11550	 0.00010	 9.40875	 0.0120
2004er        	146.6	 2.0	 1.34839	 0.10800	 0.09203	 7.68156	 1.10760	 1.10763	19.65000	 0.10810	 0.09462	 0.0120
2004fx        	102.8	 4.0	 1.90191	 0.04700	 0.04804	 4.12092	 0.34660	 0.34666	19.98650	 0.02290	 0.02374	 0.0088
2005cs        	126.0	 0.5	 3.83298	 0.04800	 0.04709	 2.31455	 0.24890	 0.24892	19.12080	 0.04790	 0.04634	 0.0086
2006Y         	 66.8	 4.0	 1.74803	 0.23000	 0.15203	 4.28711	 1.10340	 1.10348	21.22620	 0.23080	 0.15381	 0.0120
2006ai        	 72.4	 5.0	 1.49117	 0.00000	 8.95440	 3.46120	 0.00010	 0.00010	19.36580	 0.00010	 9.82648	 0.0177
2007ab        	 78.6	10.0	 0.77127	 0.00000	 0.00010	 3.37229	 0.00010	 0.00010	20.72720	 9.22350	 0.00011	 0.0231
2007it        	113.1	10.0	 1.23574	 0.01300	 0.01291	 4.29137	 0.20570	 0.20571	15.58930	 0.00560	 0.00492	 0.0100
2008M         	 85.7	 9.0	 2.05115	 0.03200	 0.03193	 2.67883	 0.39460	 0.39467	18.95140	 0.02770	 0.02715	 0.0116
2008K         	 95.3	 4.0	 1.55800	 9.32200	 0.00010	 6.73933	 9.84710	 9.84717	21.51660	 0.00010	 0.00010	 0.0186
2008aw        	 87.6	10.0	 1.40924	 0.01800	 0.01873	 5.31038	 0.50340	 0.50345	18.85360	 0.03400	 0.03501	 0.0197
2008if        	 84.5	 5.0	 1.67851	 0.02800	 0.02772	 4.79672	 0.23640	 0.23641	18.90100	 0.02550	 0.02617	 0.0120
2008in        	108.0	 1.0	 2.81272	 0.09100	 0.08935	 3.38508	 0.56450	 0.56458	20.17500	 0.07820	 0.07636	 0.0047
2009N         	108.3	 1.2	 1.89538	 0.02700	 0.02757	 2.83898	 0.21080	 0.21085	18.72150	 0.02440	 0.02376	 0.0084
2009bw        	135.2	 3.0	 2.27081	 0.03700	 0.03802	 1.51786	 0.19190	 0.19193	18.84930	 0.02970	 0.02921	 0.0133
2009ib        	140.1	 2.0	 1.23238	 0.02900	 0.03036	 4.16122	 0.23340	 0.23340	17.76620	 0.02900	 0.02901	 0.0080
2009kr        	 88.2	 2.0	 2.25729	 0.10700	 0.11373	 3.76747	 0.56320	 0.56321	19.67400	 0.10680	 0.10148	 0.0200
2009md        	118.0	 8.0	 2.60711	 8.84000	 9.73449	 1.93493	 9.63880	 9.63883	20.55390	 9.99120	 9.81924	 0.0120
2012A         	106.5	 2.0	 2.71621	 0.08500	 0.08451	 4.77539	 0.45080	 0.45089	17.67180	 0.08000	 0.07854	 0.0081
2012aw        	135.2	 4.0	 1.74817	 0.02300	 0.02105	 7.49308	 1.42810	 1.42813	15.87580	 0.01600	 0.01438	 0.0095
2012ec        	107.9	 5.0	 1.57489	 9.62000	 8.10385	 4.81188	 9.68530	 9.68539	17.30550	 8.60480	 9.96944	 0.0135

