#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T12:26:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3af12bb6e6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/tabled1}&key:source=J/MNRAS/459/3939/tabled1&HTTPPRM:&
#-source=J/MNRAS/459/3939/tabled1
#-order=I
#-out=Name
#-out=Date
#-out=JD
#-out=l_mag
#-out=mag
#-out=e_mag
#-out=Filter
#-out=Tel
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_tabled1:
#Name: J/MNRAS/459/3939/tabled1
#Title: Photometric Data for 12 SNe
#Column	Name	(A11)	SN name	[ucd=meta.id;meta.main]
#Column	Date	(A10)	Observation date	[ucd=time.epoch;obs]
#Column	JD	(F11.3)	Julian date	[ucd=time.epoch]
#Column	l_mag	(A1)	Limit flag on mag	[ucd=meta.code.error]
#Column	mag	(F6.3)	Magnitude in Filter (1)	[ucd=phot.mag]
#Column	e_mag	(F6.3)	? rms uncertainty on mag	[ucd=stat.error;phot.mag]
#Column	Filter	(A3)	Filter (2)	[ucd=meta.id;instr.filter]
#Column	Tel	(a9)	Telescope (3)	[ucd=meta.id;instr.tel]
Name	Date	JD	l_mag	mag	e_mag	Filter	Tel
SN 2013fs  	2013-10-09	2456574.674	 	16.109	 0.017	I  	1m0-08
SN 2013fs  	2013-10-10	2456575.664	 	15.915	 0.025	I  	1m0-08
SN 2013fs  	2013-10-18	2456583.631	 	15.679	 0.023	I  	1m0-08
SN 2013fs  	2013-10-20	2456585.642	 	15.803	 0.042	I  	1m0-08
SN 2013fs  	2013-10-21	2456586.639	 	15.806	 0.031	I  	1m0-08
SN 2013fs  	2013-10-22	2456587.751	 	15.827	 0.049	I  	1m0-08
SN 2013fs  	2013-10-23	2456588.690	 	15.929	 0.037	I  	1m0-08
SN 2013fs  	2013-10-26	2456591.725	 	15.960	 0.011	I  	1m0-08
SN 2013fs  	2013-10-27	2456592.714	 	15.955	 0.016	I  	1m0-08
SN 2013fs  	2013-10-28	2456593.613	 	15.996	 0.015	I  	1m0-08
SN 2013fs  	2013-10-29	2456594.671	 	16.006	 0.020	I  	1m0-08
SN 2013fs  	2013-11-02	2456598.723	 	16.043	 0.021	I  	1m0-08
SN 2013fs  	2013-11-03	2456599.702	 	16.046	 0.015	I  	1m0-08
SN 2013fs  	2013-11-06	2456602.616	 	16.070	 0.012	I  	1m0-08
SN 2013fs  	2013-11-10	2456606.695	 	16.064	 0.015	I  	1m0-08
SN 2013fs  	2013-11-20	2456616.694	 	16.123	 0.036	I  	1m0-08
SN 2013fs  	2013-11-21	2456617.545	 	16.080	 0.027	I  	1m0-05
SN 2013fs  	2013-12-03	2456629.566	 	16.114	 0.017	I  	1m0-09
SN 2013fs  	2013-12-05	2456631.562	 	16.172	 0.037	I  	1m0-09
SN 2013fs  	2013-12-11	2456637.566	 	16.248	 0.018	I  	1m0-04
SN 2013fs  	2013-12-14	2456640.677	 	16.230	 0.032	I  	1m0-08
SN 2013fs  	2013-12-17	2456643.623	 	16.054	 0.012	I  	1m0-08
SN 2013fs  	2013-12-22	2456648.628	 	16.343	 0.054	I  	1m0-08
SN 2013fs  	2013-12-23	2456649.637	 	16.491	 0.034	I  	1m0-08
SN 2013fs  	2014-01-01	2456658.583	 	16.883	 0.046	I  	1m0-08
SN 2013fs  	2014-01-07	2456664.557	 	17.575	 0.138	I  	1m0-08
SN 2013fs  	2014-01-15	2456672.560	 	17.596	 0.104	I  	1m0-08
SN 2013fs  	2014-01-17	2456674.596	 	17.576	 0.102	I  	1m0-08
SN 2013fs  	2013-10-07	2456572.789	 	16.567	 0.012	R  	1m0-08
SN 2013fs  	2013-10-08	2456573.674	 	16.278	 0.016	R  	1m0-08
SN 2013fs  	2013-10-09	2456574.670	 	16.124	 0.014	R  	1m0-08
SN 2013fs  	2013-10-10	2456575.661	 	16.024	 0.009	R  	1m0-08
SN 2013fs  	2013-10-18	2456583.627	 	15.887	 0.031	R  	1m0-08
SN 2013fs  	2013-10-20	2456585.638	 	15.970	 0.013	R  	1m0-08
SN 2013fs  	2013-10-21	2456586.636	 	16.008	 0.018	R  	1m0-08
SN 2013fs  	2013-10-22	2456587.748	 	16.071	 0.015	R  	1m0-08
SN 2013fs  	2013-10-23	2456588.686	 	16.093	 0.021	R  	1m0-08
SN 2013fs  	2013-10-25	2456590.719	 	16.154	 0.019	R  	1m0-08
SN 2013fs  	2013-10-26	2456591.722	 	16.158	 0.027	R  	1m0-08
SN 2013fs  	2013-10-27	2456592.711	 	16.161	 0.017	R  	1m0-08
SN 2013fs  	2013-10-28	2456593.610	 	16.192	 0.019	R  	1m0-08
SN 2013fs  	2013-10-29	2456594.668	 	16.183	 0.025	R  	1m0-08
SN 2013fs  	2013-11-02	2456598.720	 	16.227	 0.020	R  	1m0-08
SN 2013fs  	2013-11-03	2456599.699	 	16.236	 0.032	R  	1m0-08
SN 2013fs  	2013-11-06	2456602.612	 	16.240	 0.016	R  	1m0-08
SN 2013fs  	2013-11-10	2456606.691	 	16.280	 0.011	R  	1m0-08
SN 2013fs  	2013-11-20	2456616.690	 	16.307	 0.011	R  	1m0-08
SN 2013fs  	2013-11-21	2456617.541	 	16.314	 0.015	R  	1m0-05
SN 2013fs  	2013-12-03	2456629.563	 	16.373	 0.021	R  	1m0-09
SN 2013fs  	2013-12-05	2456631.558	 	16.400	 0.017	R  	1m0-09
SN 2013fs  	2013-12-11	2456637.562	 	16.535	 0.011	R  	1m0-04
SN 2013fs  	2013-12-14	2456640.673	 	16.548	 0.024	R  	1m0-08
SN 2013fs  	2013-12-17	2456643.619	 	16.456	 0.037	R  	1m0-08
SN 2013fs  	2013-12-20	2456646.649	 	16.570	 0.021	R  	1m0-08
SN 2013fs  	2013-12-22	2456648.624	 	16.741	 0.025	R  	1m0-08
SN 2013fs  	2013-12-23	2456649.633	 	16.812	 0.019	R  	1m0-08
SN 2013fs  	2014-01-01	2456658.580	 	17.560	 0.038	R  	1m0-08
SN 2013fs  	2014-01-07	2456664.553	 	17.948	 0.011	R  	1m0-08
SN 2013fs  	2014-01-15	2456672.556	 	18.122	 0.056	R  	1m0-08
SN 2013fs  	2014-01-17	2456674.592	 	18.175	 0.080	R  	1m0-08
SN 2013fs  	2013-10-07	2456572.773	 	15.593	 0.019	U  	1m0-08
SN 2013fs  	2013-10-08	2456573.655	 	15.371	 0.030	U  	1m0-08
SN 2013fs  	2013-10-09	2456574.651	 	15.340	 0.013	U  	1m0-08
SN 2013fs  	2013-10-10	2456575.642	 	15.329	 0.022	U  	1m0-08
SN 2013fs  	2013-10-11	2456576.742	 	15.308	 0.013	U  	1m0-08
SN 2013fs  	2013-10-18	2456583.609	 	15.725	 0.012	U  	1m0-08
SN 2013fs  	2013-10-20	2456585.619	 	15.877	 0.033	U  	1m0-08
SN 2013fs  	2013-10-21	2456586.643	 	15.932	 0.027	U  	1m0-08
SN 2013fs  	2013-10-22	2456587.729	 	16.042	 0.027	U  	1m0-08
SN 2013fs  	2013-10-23	2456588.667	 	16.079	 0.041	U  	1m0-08
SN 2013fs  	2013-10-25	2456590.658	 	16.372	 0.055	U  	1m0-08
SN 2013fs  	2013-10-26	2456591.703	 	16.344	 0.016	U  	1m0-08
SN 2013fs  	2013-10-27	2456592.692	 	16.453	 0.042	U  	1m0-08
SN 2013fs  	2013-10-28	2456593.591	 	16.521	 0.041	U  	1m0-08
SN 2013fs  	2013-10-29	2456594.649	 	16.552	 0.042	U  	1m0-08
SN 2013fs  	2013-11-02	2456598.701	 	17.065	 0.035	U  	1m0-08
SN 2013fs  	2013-11-06	2456602.593	 	17.424	 0.010	U  	1m0-08
SN 2013fs  	2013-11-10	2456606.672	 	17.497	 0.057	U  	1m0-08
SN 2013fs  	2013-11-21	2456617.518	 	18.119	 0.095	U  	1m0-05
SN 2013fs  	2013-12-03	2456629.543	 	18.795	 0.251	U  	1m0-09
SN 2013fs  	2013-12-05	2456631.535	 	19.027	 0.036	U  	1m0-09
SN 2013fs  	2013-12-11	2456637.539	 	18.678	 0.411	U  	1m0-04
SN 2013fs  	2013-12-14	2456640.672	 	18.875	 0.474	U  	1m0-08
SN 2013fs  	2013-10-07	2456572.786	 	16.499	 0.016	V  	1m0-08
SN 2013fs  	2013-10-08	2456573.671	 	16.274	 0.015	V  	1m0-08
SN 2013fs  	2013-10-09	2456574.667	 	16.103	 0.029	V  	1m0-08
SN 2013fs  	2013-10-10	2456575.657	 	16.020	 0.025	V  	1m0-08
SN 2013fs  	2013-10-18	2456583.624	 	16.099	 0.019	V  	1m0-08
SN 2013fs  	2013-10-20	2456585.635	 	16.223	 0.014	V  	1m0-08
SN 2013fs  	2013-10-21	2456586.632	 	16.220	 0.017	V  	1m0-08
SN 2013fs  	2013-10-23	2456588.683	 	16.310	 0.024	V  	1m0-08
SN 2013fs  	2013-10-25	2456590.716	 	16.397	 0.011	V  	1m0-08
SN 2013fs  	2013-10-26	2456591.719	 	16.412	 0.043	V  	1m0-08
SN 2013fs  	2013-10-27	2456592.708	 	16.435	 0.017	V  	1m0-08
SN 2013fs  	2013-10-28	2456593.606	 	16.416	 0.069	V  	1m0-08
SN 2013fs  	2013-10-29	2456594.665	 	16.449	 0.020	V  	1m0-08
SN 2013fs  	2013-11-02	2456598.717	 	16.531	 0.015	V  	1m0-08
SN 2013fs  	2013-11-03	2456599.696	 	16.619	 0.017	V  	1m0-08
SN 2013fs  	2013-11-06	2456602.609	 	16.596	 0.014	V  	1m0-08
SN 2013fs  	2013-11-10	2456606.688	 	16.610	 0.014	V  	1m0-08
SN 2013fs  	2013-11-20	2456616.686	 	16.736	 0.018	V  	1m0-08
SN 2013fs  	2013-11-21	2456617.537	 	16.745	 0.013	V  	1m0-05
SN 2013fs  	2013-12-03	2456629.558	 	16.846	 0.013	V  	1m0-09
SN 2013fs  	2013-12-05	2456631.554	 	16.865	 0.011	V  	1m0-09
SN 2013fs  	2013-12-11	2456637.559	 	17.009	 0.014	V  	1m0-04
SN 2013fs  	2013-12-14	2456640.669	 	17.026	 0.028	V  	1m0-08
SN 2013fs  	2013-12-20	2456646.645	 	17.098	 0.028	V  	1m0-08
SN 2013fs  	2013-12-23	2456649.629	 	17.353	 0.029	V  	1m0-08
SN 2013fs  	2014-01-15	2456672.574	 	18.960	 0.111	V  	1m0-08
SN 2013fs  	2014-01-19	2456676.570	 	19.023	 0.070	V  	1m0-08
SN 2013fs  	2013-10-09	2456575.479	 	16.086	 0.047	bs 	Swift
SN 2013fs  	2013-10-10	2456576.413	 	16.105	 0.046	bs 	Swift
SN 2013fs  	2013-10-11	2456576.908	 	16.040	 0.047	bs 	Swift
SN 2013fs  	2013-10-12	2456577.809	 	16.029	 0.050	bs 	Swift
SN 2013fs  	2013-10-13	2456579.218	 	16.094	 0.050	bs 	Swift
SN 2013fs  	2013-10-15	2456580.578	 	16.125	 0.053	bs 	Swift
SN 2013fs  	2013-10-18	2456584.148	 	16.316	 0.053	bs 	Swift
SN 2013fs  	2013-10-19	2456584.850	 	16.429	 0.052	bs 	Swift
SN 2013fs  	2013-10-20	2456585.991	 	16.456	 0.052	bs 	Swift
SN 2013fs  	2013-10-21	2456586.893	 	16.510	 0.051	bs 	Swift
SN 2013fs  	2013-10-22	2456588.089	 	16.523	 0.055	bs 	Swift
SN 2013fs  	2013-10-23	2456588.954	 	16.554	 0.054	bs 	Swift
SN 2013fs  	2013-10-24	2456589.860	 	16.607	 0.054	bs 	Swift
SN 2013fs  	2013-10-25	2456590.998	 	16.572	 0.052	bs 	Swift
SN 2013fs  	2013-10-26	2456591.891	 	16.802	 0.207	bs 	Swift
SN 2013fs  	2013-10-27	2456593.442	 	16.729	 0.055	bs 	Swift
SN 2013fs  	2013-10-28	2456593.644	 	16.748	 0.056	bs 	Swift
SN 2013fs  	2013-10-29	2456595.208	 	16.848	 0.056	bs 	Swift
SN 2013fs  	2013-10-30	2456596.073	 	16.898	 0.057	bs 	Swift
SN 2013fs  	2013-10-07	2456572.637	 	16.568	 0.004	g  	1m0-08
SN 2013fs  	2013-10-08	2456573.692	 	16.263	 0.004	g  	1m0-08
SN 2013fs  	2013-10-09	2456574.697	 	16.179	 0.003	g  	1m0-08
SN 2013fs  	2013-10-11	2456576.760	 	16.083	 0.008	g  	1m0-08
SN 2013fs  	2013-10-12	2456577.761	 	16.023	 0.009	g  	1m0-08
SN 2013fs  	2013-10-18	2456583.636	 	16.242	 0.011	g  	1m0-08
SN 2013fs  	2013-10-19	2456584.647	 	16.338	 0.015	g  	1m0-08
SN 2013fs  	2013-10-20	2456585.599	 	16.313	 0.004	g  	1m0-08
SN 2013fs  	2013-10-21	2456586.596	 	16.369	 0.003	g  	1m0-08
SN 2013fs  	2013-10-22	2456587.706	 	16.416	 0.009	g  	1m0-08
SN 2013fs  	2013-10-23	2456588.734	 	16.486	 0.005	g  	1m0-08
SN 2013fs  	2013-10-26	2456591.596	 	16.516	 0.001	g  	1m0-08
SN 2013fs  	2013-10-27	2456592.585	 	16.587	 0.005	g  	1m0-08
SN 2013fs  	2013-10-28	2456593.630	 	16.593	 0.008	g  	1m0-08
SN 2013fs  	2013-10-29	2456594.610	 	16.641	 0.002	g  	1m0-08
SN 2013fs  	2013-11-02	2456598.678	 	16.803	 0.004	g  	1m0-08
SN 2013fs  	2013-11-03	2456599.669	 	16.778	 0.002	g  	1m0-08
SN 2013fs  	2013-11-06	2456602.671	 	16.884	 0.005	g  	1m0-08
SN 2013fs  	2013-11-10	2456606.651	 	16.969	 0.002	g  	1m0-08
SN 2013fs  	2013-11-12	2456608.686	 	17.007	 0.009	g  	1m0-08
SN 2013fs  	2013-11-15	2456611.694	 	17.065	 0.010	g  	1m0-08
SN 2013fs  	2013-11-20	2456616.608	 	17.142	 0.002	g  	1m0-08
SN 2013fs  	2013-11-20	2456616.911	 	17.164	 0.013	g  	1m0-11
SN 2013fs  	2013-11-25	2456621.519	 	17.191	 0.010	g  	1m0-09
SN 2013fs  	2013-11-28	2456624.530	 	17.182	 0.011	g  	1m0-04
SN 2013fs  	2013-11-28	2456625.272	 	17.245	 0.025	g  	1m0-12
SN 2013fs  	2013-11-30	2456626.523	 	17.293	 0.003	g  	1m0-04
SN 2013fs  	2013-12-01	2456627.523	 	17.248	 0.006	g  	1m0-09
SN 2013fs  	2013-12-03	2456629.549	 	17.310	 0.001	g  	1m0-04
SN 2013fs  	2013-12-04	2456631.283	 	17.342	 0.014	g  	1m0-13
SN 2013fs  	2013-12-11	2456637.544	 	17.389	 0.009	g  	1m0-09
SN 2013fs  	2013-12-14	2456640.922	 	17.566	 0.005	g  	1m0-11
SN 2013fs  	2013-12-18	2456644.543	 	17.666	 0.013	g  	1m0-08
SN 2013fs  	2013-12-20	2456646.662	 	17.679	 0.003	g  	1m0-08
SN 2013fs  	2014-01-17	2456674.581	 	19.365	 0.002	g  	1m0-08
SN 2013fs  	2013-10-07	2456572.646	 	17.048	 0.009	i  	1m0-08
SN 2013fs  	2013-10-08	2456573.735	 	16.625	 0.007	i  	1m0-08
SN 2013fs  	2013-10-09	2456574.706	 	16.456	 0.012	i  	1m0-08
SN 2013fs  	2013-10-11	2456576.768	 	16.232	 0.011	i  	1m0-08
SN 2013fs  	2013-10-12	2456577.769	 	16.142	 0.018	i  	1m0-08
SN 2013fs  	2013-10-18	2456583.644	 	16.096	 0.005	i  	1m0-08
SN 2013fs  	2013-10-20	2456585.607	 	16.173	 0.014	i  	1m0-08
SN 2013fs  	2013-10-21	2456586.604	 	16.193	 0.000	i  	1m0-08
SN 2013fs  	2013-10-22	2456587.715	 	16.260	 0.018	i  	1m0-08
SN 2013fs  	2013-10-23	2456588.743	 	16.318	 0.005	i  	1m0-08
SN 2013fs  	2013-10-26	2456591.605	 	16.414	 0.003	i  	1m0-08
SN 2013fs  	2013-10-27	2456592.593	 	16.425	 0.003	i  	1m0-08
SN 2013fs  	2013-10-28	2456593.638	 	16.426	 0.005	i  	1m0-08
SN 2013fs  	2013-10-29	2456594.619	 	16.460	 0.007	i  	1m0-08
SN 2013fs  	2013-11-02	2456598.687	 	16.466	 0.009	i  	1m0-08
SN 2013fs  	2013-11-03	2456599.677	 	16.446	 0.002	i  	1m0-08
SN 2013fs  	2013-11-06	2456602.679	 	16.507	 0.003	i  	1m0-08
SN 2013fs  	2013-11-10	2456606.660	 	16.509	 0.019	i  	1m0-08
SN 2013fs  	2013-11-12	2456608.695	 	16.486	 0.002	i  	1m0-08
SN 2013fs  	2013-11-15	2456611.703	 	16.558	 0.003	i  	1m0-08
SN 2013fs  	2013-11-20	2456616.617	 	16.529	 0.005	i  	1m0-08
SN 2013fs  	2013-11-20	2456616.920	 	16.523	 0.045	i  	1m0-11
SN 2013fs  	2013-11-25	2456621.529	 	16.514	 0.002	i  	1m0-09
SN 2013fs  	2013-11-28	2456624.540	 	16.598	 0.007	i  	1m0-04
SN 2013fs  	2013-11-28	2456625.282	 	16.487	 0.007	i  	1m0-12
SN 2013fs  	2013-11-30	2456626.534	 	16.583	 0.008	i  	1m0-04
SN 2013fs  	2013-12-01	2456627.532	 	16.528	 0.013	i  	1m0-09
SN 2013fs  	2013-12-03	2456629.560	 	16.563	 0.006	i  	1m0-04
SN 2013fs  	2013-12-04	2456631.294	 	16.583	 0.014	i  	1m0-13
SN 2013fs  	2013-12-11	2456637.554	 	16.561	 0.009	i  	1m0-09
SN 2013fs  	2013-12-14	2456640.933	 	16.716	 0.049	i  	1m0-11
SN 2013fs  	2013-12-18	2456644.554	 	16.718	 0.015	i  	1m0-08
SN 2013fs  	2014-01-19	2456676.581	 	18.403	 0.035	i  	1m0-08
SN 2013fs  	2014-01-20	2456677.571	 	18.352	 0.100	i  	1m0-08
SN 2013fs  	2014-01-22	2456679.561	 	18.399	 0.032	i  	1m0-08
SN 2013fs  	2013-10-07	2456572.643	 	16.810	 0.005	r  	1m0-08
SN 2013fs  	2013-10-08	2456573.732	 	16.404	 0.001	r  	1m0-08
SN 2013fs  	2013-10-09	2456574.702	 	16.276	 0.011	r  	1m0-08
SN 2013fs  	2013-10-11	2456576.765	 	16.096	 0.011	r  	1m0-08
SN 2013fs  	2013-10-12	2456577.766	 	16.046	 0.007	r  	1m0-08
SN 2013fs  	2013-10-18	2456583.641	 	16.102	 0.001	r  	1m0-08
SN 2013fs  	2013-10-19	2456584.653	 	16.061	 0.005	r  	1m0-08
SN 2013fs  	2013-10-20	2456585.604	 	16.135	 0.002	r  	1m0-08
SN 2013fs  	2013-10-21	2456586.601	 	16.179	 0.014	r  	1m0-08
SN 2013fs  	2013-10-22	2456587.711	 	16.231	 0.000	r  	1m0-08
SN 2013fs  	2013-10-23	2456588.740	 	16.300	 0.001	r  	1m0-08
SN 2013fs  	2013-10-26	2456591.602	 	16.301	 0.007	r  	1m0-08
SN 2013fs  	2013-10-27	2456592.590	 	16.333	 0.002	r  	1m0-08
SN 2013fs  	2013-10-28	2456593.635	 	16.331	 0.006	r  	1m0-08
SN 2013fs  	2013-10-29	2456594.615	 	16.351	 0.003	r  	1m0-08
SN 2013fs  	2013-11-02	2456598.684	 	16.396	 0.002	r  	1m0-08
SN 2013fs  	2013-11-03	2456599.674	 	16.409	 0.004	r  	1m0-08
SN 2013fs  	2013-11-06	2456602.676	 	16.406	 0.017	r  	1m0-08
SN 2013fs  	2013-11-10	2456606.657	 	16.449	 0.001	r  	1m0-08
SN 2013fs  	2013-11-12	2456608.692	 	16.463	 0.001	r  	1m0-08
SN 2013fs  	2013-11-15	2456611.700	 	16.499	 0.004	r  	1m0-08
SN 2013fs  	2013-11-20	2456616.614	 	16.512	 0.002	r  	1m0-08
SN 2013fs  	2013-11-25	2456621.525	 	16.499	 0.001	r  	1m0-09
SN 2013fs  	2013-11-28	2456624.536	 	16.601	 0.005	r  	1m0-04
SN 2013fs  	2013-11-28	2456625.278	 	16.536	 0.002	r  	1m0-12
SN 2013fs  	2013-11-30	2456626.530	 	16.606	 0.002	r  	1m0-04
SN 2013fs  	2013-12-01	2456627.529	 	16.498	 0.005	r  	1m0-09
SN 2013fs  	2013-12-03	2456629.555	 	16.572	 0.021	r  	1m0-04
SN 2013fs  	2013-12-04	2456631.290	 	16.559	 0.003	r  	1m0-13
SN 2013fs  	2013-12-11	2456637.550	 	16.582	 0.005	r  	1m0-09
SN 2013fs  	2013-12-14	2456640.929	 	16.674	 0.005	r  	1m0-11
SN 2013fs  	2013-12-18	2456644.550	 	16.805	 0.012	r  	1m0-08
SN 2013fs  	2013-12-20	2456646.669	 	16.783	 0.001	r  	1m0-08
SN 2013fs  	2014-01-17	2456674.587	 	18.197	 0.011	r  	1m0-08
SN 2013fs  	2014-01-19	2456676.576	 	18.321	 0.014	r  	1m0-08
SN 2013fs  	2014-01-20	2456677.566	 	18.173	 0.053	r  	1m0-08
SN 2013fs  	2014-01-22	2456679.555	 	18.338	 0.023	r  	1m0-08
SN 2013fs  	2013-10-07	2456572.509	 	14.493	 0.060	um2	Swift
SN 2013fs  	2013-10-08	2456574.317	 	14.288	 0.059	um2	Swift
SN 2013fs  	2013-10-09	2456575.426	 	14.492	 0.061	um2	Swift
SN 2013fs  	2013-10-10	2456576.395	 	14.861	 0.062	um2	Swift
SN 2013fs  	2013-10-11	2456576.912	 	14.821	 0.061	um2	Swift
SN 2013fs  	2013-10-12	2456577.824	 	15.021	 0.064	um2	Swift
SN 2013fs  	2013-10-13	2456579.232	 	15.314	 0.068	um2	Swift
SN 2013fs  	2013-10-15	2456580.582	 	15.642	 0.074	um2	Swift
SN 2013fs  	2013-10-18	2456584.151	 	16.450	 0.085	um2	Swift
SN 2013fs  	2013-10-19	2456584.858	 	16.659	 0.078	um2	Swift
SN 2013fs  	2013-10-20	2456585.996	 	16.872	 0.083	um2	Swift
SN 2013fs  	2013-10-21	2456586.899	 	16.992	 0.082	um2	Swift
SN 2013fs  	2013-10-22	2456588.100	 	17.279	 0.098	um2	Swift
SN 2013fs  	2013-10-23	2456588.958	 	17.261	 0.099	um2	Swift
SN 2013fs  	2013-10-24	2456589.867	 	17.534	 0.101	um2	Swift
SN 2013fs  	2013-10-25	2456591.003	 	17.693	 0.104	um2	Swift
SN 2013fs  	2013-10-27	2456593.446	 	18.008	 0.121	um2	Swift
SN 2013fs  	2013-10-28	2456593.648	 	18.141	 0.128	um2	Swift
SN 2013fs  	2013-10-29	2456595.215	 	18.257	 0.136	um2	Swift
SN 2013fs  	2013-10-30	2456596.079	 	18.317	 0.138	um2	Swift
SN 2013fs  	2013-10-09	2456575.478	 	14.826	 0.050	us 	Swift
SN 2013fs  	2013-10-10	2456576.412	 	14.922	 0.050	us 	Swift
SN 2013fs  	2013-10-11	2456576.907	 	14.905	 0.051	us 	Swift
SN 2013fs  	2013-10-12	2456577.808	 	14.950	 0.053	us 	Swift
SN 2013fs  	2013-10-13	2456579.216	 	15.094	 0.053	us 	Swift
SN 2013fs  	2013-10-15	2456580.577	 	15.183	 0.056	us 	Swift
