#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T12:23:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3af0b702f3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/table2}&key:source=J/MNRAS/459/3939/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/459/3939/table2
#-order=I
#-out=LC
#-out=LC_param
#-out=Name
#-out=mu
#-out=e_mu
#-out=r_mu
#-out=Epoch
#-out=e_Epoch
#-out=r_Epoch
#-out=E(B-V)h
#-out=e_E(B-V)h
#-out=r_E(B-V)h
#-out=E(B-V)MW
#-out=Host
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_table2:
#Name: J/MNRAS/459/3939/table2
#Title: SNe type II
#Column	LC	(A1)	[*] * indicates light curves in tabled1.dat	[ucd=meta.code]
#Column	LC_param	(A1)	indicates light curve parameters in tables D2-D5	[ucd=meta.ref.url]
#Column	Name	(a11)	SN name	[ucd=meta.id;meta.main]
#Column	mu	(F5.2)	Distance modulus	[ucd=phot.mag.distMod]
#Column	e_mu	(F5.2)	rms uncertainty on mu	[ucd=stat.error]
#Column	r_mu	(A1)	Reference for mu, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Epoch	(F10.2)	Explosion epoch	[ucd=time.epoch]
#Column	e_Epoch	(F4.1)	rms uncertainty on Epoch	[ucd=stat.error;time.epoch]
#Column	r_Epoch	(A2)	Reference for Epoch, in refs.dat file	[ucd=meta.ref]
#Column	E(B-V)h	(F5.2)	Host redenning	[ucd=phot.color.excess]
#Column	e_E(B-V)h	(F5.2)	rms uncertainty on E(B-V)h	[ucd=stat.error]
#Column	r_E(B-V)h	(A2)	Reference for E(B-V)h, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	E(B-V)MW	(F5.2)	Milky Way redenning	[ucd=phot.color.excess]
#Column	Host	(a23)	Host galaxy name	[ucd=meta.id.parent]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad and OGLE database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad and OGLE database (declination part)	[ucd=pos.eq.dec;meta.main]
LC	LC_param	Name	mu	e_mu	r_mu	Epoch	e_Epoch	r_Epoch	E(B-V)h	e_E(B-V)h	r_E(B-V)h	E(B-V)MW	Host	SimbadName	_RA	_DE
 	*	1986L      	31.72	 0.20	e	2446708.50	 6.0	m 	 0.00	 0.02	m 	 0.03	NGC1559                	SN 1986L        	064.37250	-62.78444
 	*	1979C      	31.01	 0.09	f	2443970.00	15.0	s 	 0.16	 0.05	gg	 0.02	NGC4321                	SN 1979C        	185.74408	+15.79797
 	*	1990E      	31.71	 0.27	g	2447932.00	 5.0	z 	 0.38	 0.00	z 	 0.02	NGC1035                	SN 1990E        	039.87125	-08.13722
 	*	1991al     	34.28	 0.54	h	2448444.00	 9.0	m 	 0.04	 0.02	m 	 0.05	2MASXJ19422191-5506275 	SN 1991al       	295.60029	-55.10653
 	*	1992af     	34.37	 0.15	a	2448792.00	 6.0	m 	 0.00	 0.09	m 	 0.05	ESO340-G038            	SN 1992af       	307.66771	-42.30978
 	*	1992ba     	31.07	 0.30	i	2448889.00	 8.0	m 	 0.02	 0.01	m 	 0.05	NGC2082                	SN 1992ba       	085.44625	-64.30019
 	*	1993A      	35.68	 0.17	h	2448996.00	 9.0	m 	 0.00	 0.00	m 	 0.15	2MASXJ07391822-6203095 	SN 1993A        	114.82208	-62.05389
 	*	1993K      	32.89	 0.15	a	2449066.00	 9.0	m 	 0.12	 0.06	m 	 0.06	NGC2223                	SN 1993K        	096.15750	-22.83056
 	*	1993S      	35.32	 0.14	h	2449131.00	 4.0	m 	 0.00	 0.08	m 	 0.01	2MASXJ22522390-4018432 	SN 1993S        	343.10042	-40.31194
 	*	1999ca     	32.82	 0.15	a	2451278.00	 7.0	m 	 0.08	 0.05	m 	 0.10	NGC3120                	SN 1999ca       	151.34562	-34.21139
 	*	1999cr     	34.56	 0.18	h	2451248.00	 7.0	m 	 0.10	 0.05	m 	 0.09	ESO576-G034            	SN 1999cr       	200.07642	-20.14778
 	*	1999em     	30.34	 0.07	j	2451475.00	 1.0	i 	 0.06	 0.02	m 	 0.04	NGC1637                	SN 1999em       	070.36267	-02.86256
 	*	1999gi     	30.34	 0.14	i	2451518.20	 3.1	hh	 0.19	 0.09	hh	 0.01	NGC3184                	SN 1999gi       	154.56942	+41.44117
 	*	1999br     	31.60	 0.43	i	2451278.00	 3.0	jj	 0.00	 0.01	m 	 0.02	SDSSJ130039.25+023002.5	SN 1999br       	195.17417	+02.49606
 	*	2000dc     	32.93	 0.14	h	2451762.00	 4.0	aa	 0.00	 0.00	aa	 0.07	ESO527-G019            	SN 2000dc       	305.18946	-24.13264
 	*	2001fa     	33.90	 0.19	k	2452198.00	 3.0	aa	 0.00	 0.00	aa	 0.07	NGC0673                	SN 2001fa       	027.09258	+11.52622
 	*	2001do     	33.39	 0.15	a	2452133.00	 2.0	aa	 0.00	 0.00	aa	 0.17	UGC11459               	SN 2001do       	294.34592	+40.70675
 	*	2001cy     	33.01	 0.12	h	2452085.00	 6.0	aa	 0.00	 0.00	aa	 0.19	UGC11927               	SN 2001cy       	332.36567	+40.98792
 	*	2001X      	31.59	 0.11	h	2451963.00	 5.0	ee	 0.07	 0.04	ee	 0.04	NGC5921                	SN 2001X        	230.48104	+05.06169
 	*	2002gd     	32.90	 0.21	h	2452552.00	 2.0	dd	 0.00	 0.02	m 	 0.06	NGC7537                	SN 2002gd       	348.65421	+04.50169
 	*	2002gw     	33.07	 0.15	a	2452560.00	 5.0	m 	 0.00	 0.02	m 	 0.02	NGC0922                	SN 2002gw       	036.26237	-24.79739
 	*	2002hj     	34.91	 0.15	a	2452563.00	 7.0	m 	 0.00	 0.04	m 	 0.10	NPM1G+04.0097          	SN 2002hj       	044.53892	+04.68439
 	*	2002hh     	28.36	 0.09	h	2452577.50	10.0	ff	 0.70	 0.00	ff	 0.30	NGC6946                	SN 2002hh       	308.68454	+60.12194
 	 	2002hx     	35.49	 0.15	a	2452583.00	 9.0	m 	 0.00	 0.07	m 	 0.05	PCG23727               	SN 2002hx       	126.91429	-14.78769
 	*	2003B      	30.94	 0.15	a	2452617.00	11.0	m 	 0.06	 0.03	m 	 0.02	NGC1097                	SN 2003B        	041.55742	-30.22919
 	*	2003E      	34.01	 0.28	t	2452635.00	 7.0	m 	 0.00	 0.00	m 	 0.04	ESO485-G004            	SN 2003E        	069.79533	-24.17681
 	*	2003T      	35.36	 0.15	a	2452655.00	10.0	m 	 0.00	 0.00	m 	 0.03	UGC4864                	SN 2003T        	138.54608	+16.74667
 	*	2003Z      	31.70	 0.15	a	2452665.00	 4.5	dd	 0.00	 0.00	dd	 0.03	NGC2742                	SN 2003Z        	136.88525	+60.48819
 	*	2003bl     	34.07	 0.30	t	2452700.00	 3.0	m 	 0.00	 0.09	m 	 0.02	NGC5374                	SN 2003bl       	209.37771	+06.09344
 	*	2003bn     	33.55	 0.15	a	2452695.00	 3.0	m 	 0.00	 0.02	m 	 0.06	2MASXJ10023529         	SN 2003bn       	150.64796	-21.18181
 	*	2003cn     	34.81	 0.28	t	2452720.00	 4.0	m 	 0.00	 0.04	m 	 0.02	IC0849                 	SN 2003cn       	196.90437	-00.94719
 	*	2003cx     	35.91	 0.15	a	2452729.00	 5.0	m 	 0.00	 0.05	m 	 0.08	-                      	SN 2003cx       	209.27692	-17.03961
 	*	2003ef     	33.96	 0.18	v	2452760.00	 9.0	m 	 0.00	 0.00	m 	 0.04	NGC4708                	SN 2003ef       	192.42604	-11.09153
 	*	2003fb     	34.36	 0.15	a	2452777.00	 6.0	m 	 0.00	 0.06	m 	 0.16	UGC11522               	SN 2003fb       	302.95971	+05.76044
 	*	2003hd     	36.02	 0.15	a	2452858.00	 5.0	m 	 0.00	 0.06	m 	 0.01	MCG-04-05-010          	SN 2003hd       	027.44296	-21.91050
 	*	2003hf     	35.64	 0.15	a	2452863.00	 2.0	aa	 0.00	 0.00	aa	 0.02	UGC10586               	SN 2003hf       	252.70158	+45.40050
 	*	2003hg     	33.31	 0.28	t	2452866.00	 5.0	m 	 0.00	 0.00	m 	 0.06	NGC7771                	SN 2003hg       	357.85054	+20.11064
 	*	2003hl     	32.16	 0.10	h	2452869.00	 5.0	m 	 0.00	 0.00	m 	 0.06	NGC0772                	SN 2003hl       	029.83867	+19.00403
 	*	2003hn     	31.14	 0.26	i	2452857.00	 4.0	i 	 0.12	 0.03	m 	 0.01	6dFJ0344359-443750     	SN 2003hn       	056.15042	-44.63028
 	 	2003ho     	33.80	 0.15	a	2452848.00	 7.0	m 	 2.36	 0.40	m 	 0.03	ESO235-G58*            	SN 2003ho       	316.62733	-48.12497
 	*	2003ib     	35.12	 0.15	a	2452891.00	 5.0	m 	 0.00	 0.09	m 	 0.04	MCG-04-48-15           	SN 2003ib       	308.37908	-24.62083
 	*	2003ip     	33.76	 0.28	t	2452897.00	 4.0	m 	 0.04	 0.03	m 	 0.06	UGC00327               	SN 2003ip       	008.31983	+07.90542
 	*	2003iq     	32.16	 0.10	h	2452920.00	 2.0	m 	 0.00	 0.00	m 	 0.06	NGC0772                	SN 2003iq       	029.83317	+18.99503
 	*	2004du     	33.94	 0.02	h	2453228.00	 2.0	aa	 0.00	 0.00	ee	 0.08	UGC11683               	SN 2004du       	317.11046	+18.18992
 	*	2004et     	28.36	 0.09	h	2453270.50	 4.0	nn	 0.11	 0.05	ac	 0.30	NGC6946                	SN 2004et       	308.85554	+60.12158
 	*	2004er     	33.83	 0.15	a	2453272.20	 2.0	m 	 0.11	 0.05	m 	 0.02	UGCA036                	SN 2004er       	039.24600	-05.35547
 	*	2004fx     	32.71	 0.15	a	2453304.00	 4.0	m 	 0.00	 0.03	m 	 0.09	MCG-02-14-3            	SN 2004fx       	077.79862	-09.39211
 	*	2005J      	34.06	 0.15	a	2453383.20	 7.0	m 	 0.07	 0.10	m 	 0.02	NGC4012                	SN 2005J        	179.61892	+10.01922
 	 	2005K      	35.26	 0.15	a	2453370.20	 7.0	m 	 0.00	 0.00	m 	 0.03	NGC2923                	SN 2005K        	144.01796	+16.76300
 	 	2005af     	27.90	 0.10	u	2453324.30	15.0	m 	 0.00	 0.04	m 	 0.16	NGC4945                	SN 2005af       	196.18358	-49.56661
 	*	2005dq     	34.77	 0.15	a	2453608.00	 4.0	aa	 0.00	 0.00	aa	 0.07	UGC12177               	SN 2005dq       	341.19354	+33.46044
 	*	2005cs     	29.26	 0.33	l	2453549.00	 0.5	oo	 0.02	 0.01	oo	 0.03	NGC5194                	SN 2005cs       	202.47237	+47.17450
 	*	2005dx     	35.16	 0.15	a	2453616.30	 7.0	m 	 0.00	 0.09	m 	 0.02	ESO550-G002            	SN 2005dx       	061.12021	-17.90764
 	*	2005dz     	34.44	 0.15	a	2453620.00	 4.0	m 	 0.00	 0.04	m 	 0.07	UGC12717               	SN 2005dz       	354.65971	+05.43814
 	*	2006Y      	35.70	 0.06	m	2453767.00	 4.0	m 	 0.00	 0.04	m 	 0.11	ESO207-G026            	SN 2006Y        	108.32162	-51.68856
 	*	2006iw     	35.49	 0.15	a	2454011.10	 1.0	m 	 0.00	 0.04	m 	 0.04	2MASXJ23211915+0015329 	SN 2006iw       	350.33117	+00.25975
 	*	2006ai     	34.01	 0.14	m	2453782.30	 5.0	m 	 0.00	 0.03	m 	 0.11	ESO005-G009            	SN 2006ai       	112.46733	-84.03903
 	*	2006bp     	31.58	 0.18	n	2453834.50	 2.0	ad	 0.40	 0.10	ww	 0.03	NGC3953                	SN 2006bp       	178.48225	+52.35261
 	*	2007W      	33.14	 0.15	a	2454137.30	 7.0	m 	 0.00	 0.03	m 	 0.05	NGC5105                	SN 2007W        	200.45208	-13.21581
 	*	2007U      	35.12	 0.15	a	2454135.10	 6.0	m 	 0.00	 0.12	m 	 0.05	ESO552-G065            	SN 2007U        	076.27971	-18.98886
 	*	2007X      	32.62	 0.15	a	2454144.30	 5.0	m 	 0.12	 0.06	m 	 0.06	ESO385-G032            	SN 2007X        	217.56042	-36.96475
 	*	2007ab     	34.97	 0.15	a	2454124.30	10.0	m 	 0.00	 0.00	m 	 0.23	MCG-01-43-2            	SN 2007ab       	252.87137	-03.09267
 	*	2007it     	30.35	 0.36	a	2454349.00	10.0	ae	 0.00	 0.00	ae	 0.42	NGC5530                	SN 2007it       	214.60679	-43.38161
 	*	2007ld     	35.50	 0.15	a	2454378.00	 8.0	m 	 0.00	 0.05	m 	 0.08	SDSSJ204929.40+000016.8	SN 2007ld       	312.37329	+00.00389
 	*	2007od     	31.95	 0.15	a	2454404.00	 5.0	pp	 0.00	 0.02	m 	 0.03	UGC12846               	SN 2007od       	358.95283	+18.41522
 	*	2008M      	32.42	 0.15	a	2454472.20	 9.0	m 	 0.00	 0.02	m 	 0.04	ESO121-26              	SN 2008M        	095.42200	-59.72928
 	*	2008K      	35.35	 0.15	a	2454478.20	 4.0	m 	 0.00	 0.02	m 	 0.03	ESO504-G005            	SN 2008K        	174.54392	-23.42669
 	*	2008aw     	33.21	 0.15	a	2454518.20	10.0	m 	 0.10	 0.05	m 	 0.04	NGC4939                	SN 2008aw       	196.05879	-10.32025
 	 	2008bu     	34.81	 0.15	a	2454567.20	 7.0	m 	 0.00	 0.04	m 	 0.37	ESO586-G2              	SN 2008bu       	251.84604	-20.14672
 	*	2008fq     	33.38	 0.15	a	2454720.00	 5.0	aa	 0.46	 0.10	cc	 0.06	NGC6907                	SN 2008fq       	306.27579	-24.80767
 	 	2008ho     	33.07	 0.15	a	2454793.20	 5.0	m 	 0.05	 0.03	m 	 0.02	NGC0922                	SN 2008ho       	036.26667	-24.80067
 	*	2008if     	33.54	 0.15	a	2454808.30	 5.0	m 	 0.07	 0.04	m 	 0.03	MCG-01-24-010          	SN 2008if       	140.09779	-07.87586
 	*	2008in     	30.45	 0.10	o	2454825.60	 1.0	o 	 0.03	 0.02	m 	 0.02	MESSIER061             	SN 2008in       	185.50737	+04.47986
 	*	2009N      	31.67	 0.11	q	2454848.10	 1.2	q 	 0.03	 0.02	m 	 0.02	NGC4487                	SN 2009N        	187.78942	-08.04897
 	*	2009bw     	31.44	 0.15	a	2454916.50	 3.0	ss	 0.08	 0.04	ss	 0.20	UGC02890               	SN 2009bw       	059.02883	+72.92803
 	*	2009dd     	30.91	 0.15	a	2454925.50	 5.0	bb	 0.43	 0.10	bb	 0.02	NGC4088                	SN 2009dd       	181.39208	+50.53850
 	 	2009hd     	29.86	 0.08	p	2455002.00	20.0	vv	 1.20	 0.07	vv	 0.03	SDSSJ112017.26+125829.1	SN 2009hd       	170.07079	+12.97953
 	*	2009ib     	31.48	 0.31	r	2455041.30	 2.0	r 	 0.13	 0.05	r 	 0.03	NGC1559                	SN 2009ib       	064.41704	-62.77786
 	*	2009js     	31.57	 0.15	a	2455110.00	 5.5	mm	 0.05	 0.16	mm	 0.31	NGC0918                	SN 2009js       	036.45117	+18.49050
 	*	2009kr     	32.09	 0.15	a	2455140.50	 2.0	w 	 0.01	 0.00	ab	 0.06	NGC1832                	SN 2009kr       	078.01375	-15.69783
 	*	2009md     	31.66	 0.15	a	2455162.00	 8.0	tt	 0.10	 0.05	tt	 0.02	NGC3389                	SN 2009md       	162.10950	+12.53411
 	*	2010id     	34.15	 0.15	a	2455452.00	 2.0	uu	 0.00	 0.00	uu	 0.05	NGC7483                	SN 2010id       	346.45367	+03.52375
 	*	2012A      	29.96	 0.15	a	2455932.50	 2.0	qq	 0.01	 0.00	qq	 0.03	NGC3239                	SN 2012A        	156.28079	+17.15406
 	*	2012aw     	29.96	 0.09	o	2456002.50	 4.0	ad	 0.06	 0.02	xx	 0.02	SDSSJ104357.53+114056.0	SN 2012aw       	160.97387	+11.67156
 	*	2012ec     	31.32	 0.15	a	2456143.00	 5.0	rr	 0.12	 0.05	rr	 0.02	NGC1084                	SN 2012ec       	041.49954	-07.57361
 	*	LSQ13cuw   	36.38	 0.13	s	2456593.42	 0.7	s 	 0.00	 0.00	s 	 0.02	SDSSJ023957.37-083123.8	lsq13cuw        	039.98896	-08.52364
 	*	OGLE13-005 	37.42	 0.15	a	2456241.70	 2.9	zz	 0.00	 0.00	zz	 0.03	-                      	OGLE-2013-SN-005	015.40475	-67.30047
 	*	OGLE13-011 	36.66	 0.15	a	2456298.25	 6.5	zz	 0.00	 0.00	zz	 0.05	-                      	OGLE-2013-SN-011	071.79550	-64.04347
 	*	OGLE13-045 	38.25	 0.15	a	2456483.40	 2.5	zz	 0.00	 0.00	zz	 0.03	-                      	OGLE-2013-SN-045	355.15217	-64.28961
 	*	OGLE13-046 	37.42	 0.15	a	2456489.90	 2.0	zz	 0.00	 0.00	zz	 0.03	-                      	OGLE-2013-SN-046	016.87387	-67.43433
 	*	OGLE13-047 	37.09	 0.15	a	2456505.30	 4.5	zz	 0.00	 0.00	zz	 0.03	-                      	OGLE-2013-SN-047	355.14783	-64.40631
 	*	OGLE13-048 	37.09	 0.15	a	2456489.40	 1.5	zz	 0.00	 0.00	zz	 0.04	-                      	OGLE-2013-SN-048	024.29271	-68.39683
 	*	OGLE13-135 	36.97	 0.15	a	2456620.65	 2.0	zz	 0.00	 0.00	zz	 0.16	-                      	OGLE-2013-SN-135	046.70083	-77.40789
 	*	OGLE13-144 	36.19	 0.15	a	2456635.70	 6.0	zz	 0.00	 0.00	zz	 0.11	-                      	OGLE-2013-SN-144	075.23825	-67.74047
 	*	OGLE14-004 	35.54	 0.15	a	2456660.30	 2.5	zz	 0.00	 0.00	zz	 0.07	-                      	OGLE-2014-SN-004	069.65392	-65.52494
 	*	OGLE14-009 	36.93	 0.15	a	2456688.20	 1.5	zz	 0.00	 0.00	zz	 0.07	-*                     	OGLE-2014-SN-009	082.47354	-53.88794

